instance: mastodon.social, mastodon: 4.6.0-nightly.2026-02-24
instance: luzeed.org, pixelfed: 0.12.7
instance: masto.svavar.com, mastodon: 4.5.5
instance: mastodon.apievangelist.com, mastodon: 3.5.3
instance: social.iheartmichelle.com, mastodon: 4.5.6
instance: huskies.online, mastodon: 4.5.6
instance: mastodon.maho-do.jp, mastodon: 4.4.5
instance: youth.social, mastodon: 4.5.5
instance: tsubuyaki.choro3.net, mastodon: 4.3.8
instance: mast.madmolelabs.com, mastodon: 4.5.6
instance: m.abyss.moe, mastodon: 4.3.2
instance: toot.norbipeti.eu, mastodon: 4.5.3
instance: social.arcanelab.net, mastodon: 4.5.4
instance: attreno.fr, mastodon: 4.2.15
instance: social.lex-blog.eu, mastodon: 4.5.6
instance: mast.yurec.online, mastodon: 4.3.0
instance: social.masawada.me, mastodon: 4.5.6
instance: mastodon.binwang.me, mastodon: 4.2.10
instance: kinktest.masto.host, mastodon: 4.5.6
instance: rickyleong.me, mastodon: 4.5.6
instance: simon.blog, wordpress: 6.9
instance: misskey.canpavon.cat, misskey: 2025.12.2
instance: member.ro, mastodon: 4.3.4
instance: insta.landofkittens.social, pixelfed: 0.12.6
instance: mastodon.fooddrinklife.com, mastodon: 4.5.6
instance: social.dunamisnexus.net, mastodon: 4.5.6
instance: bibliodiversidade.club, mastodon: 4.5.6
instance: km.produkti.se, akkoma: 3.17.0
instance: fed.vulpo.one, friendica: 2026.01-1586
instance: foxi.sh, mastodon: 4.1.18
instance: oideion.ca, mastodon: 4.4.3
instance: hamradio.tel, mastodon: 4.5.2
instance: brontosin.space, mastodon: 4.2.17
instance: firebringer.social, mastodon: 4.3.6
instance: hata.casa, pleroma: 2.5.1
instance: social.chatty.monster, mastodon: 4.6.0-alpha.4+glitch
instance: mastodon.tod.net, mastodon: 4.5.6
instance: pleroma.zuikou.dev, pleroma: 2.9.1
instance: darkpenguin.social, mastodon: 4.5.6
instance: mastodon.mauve.moe, mastodon: 3.5.10
instance: tootmavie.net, mastodon: 4.5.5
instance: masost.one, misskey: 2025.12.2
instance: social.devnamic.com, mastodon: 4.3.1+glitch
instance: social.madeoutofmeat.com, pleroma: 2.4.4
instance: demigod.bar, mastodon: 4.5.6
instance: sneakerwave.net, mastodon: 4.5.6
instance: social.screamingatmyscreen.com, mastodon: 4.5.6
instance: mastodon.triformine.dev, mastodon: 4.2.7
instance: faeranne.me, sharkey: 2025.4.2
instance: blueviolet.monster, mastodon: 4.5.6
instance: mastodon.eddmil.es, mastodon: 4.5.6
instance: social.pu2ttz.app.br, mastodon: 4.5.6
instance: social.rma.ac.be, mastodon: 4.3.9
instance: entangledstates.org, wordpress: 6.9
instance: mstdn.social.setsuzokustudio.com, mastodon: 4.3.6
instance: mastodon.tuidao.me, mastodon: 4.5.6
instance: kys.moe, pleroma: 2.10.0
instance: timeline.wtf, mastodon: 4.3.8
instance: empire.miyaco.moe, misskey: 2025.12.2-miyaco.21
instance: katzebot.space, mastodon: 4.2.13
instance: elmoncho.cc, mastodon: 4.5.5+glitch
instance: alliec.at, mastodon: 4.5.4
instance: boumi.me, mastodon: 4.5.6
instance: mastodon.balamb.fr, mastodon: 4.6.0-nightly.2026-02-22+chuckya
instance: 400nm.kvarkki.nexus, pixelfed: 0.12.6
instance: social.dsmouse.net, mastodon: 4.4.0-beta.2+glitch.0618_f4c850d
instance: darkshade.social, mastodon: 4.5.6
instance: typing.ink, mastodon: 4.5.2
instance: social.as59715.net, pleroma: 2.5.54-2720-g9bec0223.develop+soapbox
instance: mostlygood.xyz, mastodon: 4.5.5+glitch
instance: mi2.suzusiro.com, misskey: 2025.12.1
instance: foxes.day, sharkey: 2025.4.4-moca
instance: v2br.social, mastodon: 4.5.6
instance: fo0bar.org, mastodon: 4.5.6
instance: educacao-inclusiva.wiki, wordpress: 6.9
instance: e4le.me, misskey: 2025.9.0
instance: mastodon.boyfails.me, mastodon: 4.1.2
instance: tylernguyen.social, mastodon: 4.5.6
instance: poorlyrendered.com, mastodon: 4.5.6
instance: fri.dxz.ch, friendica: 2026.04-dev-1589
instance: pantsfree.cc, pleroma: 2.9.1
instance: chirpi.de, mastodon: 4.5.6
instance: physchem.science, mastodon: 4.5.6
instance: nfld.me, mastodon: 4.5.5
instance: mastodon.classicyou.nl, mastodon: 4.5.5
instance: mastodon.nikolaev-sh.ru, mastodon: 4.5.4
instance: toot.ale.gd, mastodon: 4.5.0-alpha.2+glitch
instance: doughnuton.com, kmyblue: 4.5.1+kmyblue.21.2-lts
instance: social.anemoneprune.fr, friendica: 2026.01-1586
instance: friendica.a-zwenkau.de, friendica: 2025.07-rc-1586
instance: 2248.live, misskey: 2025.7.0
instance: muenzl.net, wordpress: 6.9
instance: soc.nemo.click, snac: 2.90-dev
instance: do.crimes.brie.gay, sharkey: 2025.4.4
instance: opennieuwsbank.nl, wordpress: 6.9
